AACS	FOCAD
ATP13A3	GMCL1
ATP13A3	RBP1
ATP13A3	ARHGAP17
SLC41A3	GOSR2
SLC41A3	SYT4
CACNB4	HERC1
CACNB4	DBI
CACNB4	RUNX1T1
MED15	MRPS30
MED15	MCM2
DYRK1A	RBP1
GMCL1	CD200
GOSR2	CTIF
GOSR2	DONSON
GOSR2	FAM126A
MCM5	GNG12
MRPS30	MFAP1
MRPS30	CIR1
MRPS6	RAD54L
NELL2	ANK3
NELL2	EMC8
NELL2	TET3
CD200	ECD
TMEM188	LTBP4
DPM2	ECD
ECD	THSD7A
ECD	NOL7
ECD	FAM133B
CTIF	DNAH14
CTIF	PPP1R10
FAM126A	NKIRAS1
SPECC1	CYTH1
CYTH1	LY6G5C
GNG12	TAOK3
MFAP1	NECAP2
CHMP2B	RAD54L
RAD54L	DNALI1
RAD54L	ST6GAL2
AKR1C2	SEZ6
AKR1C2	FBXW2
SEZ6	SPAST
SEZ6	CNKSR3
SEZ6	LONP1
SEZ6	NDST1
ANK3	CDT1
CDT1	C6ORF162
EMC8	MYT1L
EMG1	AK9
EMG1	KCTD13
EMG1	PRDM16
AK9	PPP1R14B
AK9	SRRM4
FBXW2	SNX24
MYT1L	GRIA2
MYT1L	PHC2
NLGN2	DERL3
NLGN2	EHMT1
NLGN2	FAM104A
NLGN2	MAST1
NLGN2	GRSF1
DERL3	CPEB4
DERL3	SHOC2
ADIPOR2	RTTN
ADIPOR2	IFNGR2
RTTN	DDX58
RTTN	NXPE3
DDX58	DDX59
EFCAB7	DAGLB
EFCAB7	DNA2
EFCAB7	DNAJC10
EFCAB7	DYNC2H1
DAGLB	B9D2
DAGLB	MBD3
DAGLB	CCDC77
DAGLB	PRKX
NXPE3	SMAD3
SMAD3	EPB41L5
SIN3A	FIS1
B9D2	NECAP2
B9D2	FIGN
B9D2	GNL2
B9D2	SAT1
DNAJC10	DHFR
EPB41L5	FBXW4
ADNP	KDM3B
KDM3B	CNR1
CNR1	POU3F4
CNR1	MAPK3
POU3F4	ATG9A
ADNP2	TAF2
ADNP2	NCAPD3
ADPGK	SLU7
ADPGK	RNF146
SLU7	CRTAP
SLU7	RRP12
RNF146	DOPEY2
CRTAP	C1ORF66
CRTAP	SOCS4
CRTAP	CEP97
DOPEY2	POMGNT1
DOPEY2	LRP12
C1ORF66	NXN
C1ORF66	PPP1CB
AEBP1	MRPL34
AEBP1	MICU3
MRPL34	CCDC23
MRPL34	ARID5B
MRPL34	TBC1D23
MICU3	NSF
MICU3	PSPC1
CCDC23	TADA3L
PSPC1	FBXO17
