AAAS	DNAJA2
PRADC1	SLC35A4
IREB2	MON1B
IREB2	PABPC3
MON1B	MPHOSPH6
MPHOSPH6	ORC6L
PDE12	PREPL
PELP1	TBCD
ABL2	AKAP2
ABL2	PCBP4
AKAP2	C9ORF142
AKAP2	DCHS1
AKAP2	TCEAL1
AHCY	PLCXD1
PLCXD1	LDOC1L
PLCXD1	RBM15B
C9ORF142	ERGIC3
APBA2	FYTTD1
FYTTD1	FUBP3
ERGIC3	SPNS1
CCDC82	TCEAL1
TCEAL1	SEC11A
CCND1	PAK1
PAK1	CNPY3
PAK1	MIB1
CIRH1A	SLC35F1
SLC35F1	SERTAD2
DCHS1	MRPL46
DIMT1L	GIT1
DIMT1L	SPNS1
GIT1	JPH1
GIT1	RBM15B
GIT1	SDC2
EIF4G3	MIB1
MIB1	SDC2
MIB1	SERTAD2
FUBP3	SEC11A
FUBP3	MMS19
FUBP3	MTUS1
SEC11A	NIPA2
SEC11A	RMND1
GMPR2	SDC2
GMPR2	MTCL1
KLHDC2	MRPS6
KLHDC2	SLX1B
MLLT6	PCBP4
MRPL46	SPOP
MTUS1	PHF23
NFIL3	NRBF2
NRBF2	SPOP
PHF23	POC1B
RAD1	SERTAD2
C19ORF48	NISCH
ORC6L	KIAA0922
PABPC3	RNF217
ANKRD32	LARP7
AK9	PHLPP1
PHLPP1	BEND5
BEND5	EXOG
CUL5	EXOG
GMFB	NDUFV3
DERL2	PRKRA
DERL2	RNF112
PRKRA	TET2
PRKRA	COMMD6
CACNB2	CYFIP2
CYFIP2	DCP1A
CYFIP2	PPP1CC
CYFIP2	PRIM2
HSPH1	HSF1
HSF1	GTDC1
C9ORF16	MESDC1
MESDC1	IFT88
INTS6	RFX3
INTS6	DYNLL2
RFX3	NKIRAS1
GNB1	ISCA2
GNB1	IFT88
BEX4	IFT88
CAMK4	NEK3
NEK3	CASK
NEK3	CREB3L4
NEK3	CYTH2
NEK3	HARS2
NEK3	MIIP
NEK3	MRPS25
NEK3	DENND5A
NEK3	NME4
CDKN1B	DYNLL2
DYNLL2	CDKN2D
CDKN2D	ISCA2
CDKN2D	PIM1
DENND5A	TBRG1
DENND5A	PANX1
TBRG1	ARFGAP3
FEZ2	PSME2
PSME2	LYRM9
PSME2	ROCK1
NKIRAS1	KIAA1429
NKIRAS1	RIOK1
PANX1	PRDM15
ARFGAP3	GTDC1
ARFGAP3	ATP2C1
GTDC1	RIOK1
GTDC1	SLC35G1
CDC37	GTF2F1
CDC37	CS
CDC37	GABRA2
CDC37	PDSS1
GTF2F1	HDHD1
GTF2F1	PKD2
HDHD1	SLC35G1
HDHD1	MPI
HDHD1	PLEKHA5
KIAA1429	TALDO1
NFE2L2	PSMD13
PKD2	NTMT1
EFTUD2	MEMO1
MEMO1	RRP36
RRP36	KAT5
SEC14L1	PIGY
PIGY	HERC3
PIGY	PLEKHA5
PIGY	SEMA4D
ADCY6	PLEKHB2
FBRSL1	MAPKAPK2
MAPKAPK2	SLC35G1
MAPKAPK2	GGA3
MAPKAPK2	PCDHB13
SLC35G1	ELOVL4
AES	GGA3
AES	CERS4
AES	PDE3B
GGA3	AMBRA1
CAMK1D	PCDHB13
ELOVL4	TCEAL2
BACH1	KCTD1
KCTD1	FBXO8
KCTD1	IBTK
KCTD1	LMAN2
KCTD1	PDK2
KCTD1	RBM12
EIF4ENIF1	MRPL15
MRPL15	LRRC42
MRPL15	MTX2
MRPL15	PSME3
GLTP	KDM6B
PPP2R5B	TBP
