AAAS	DNAJA2
TAF6	MRPL19
TAF6	GRIA2
APIP	SYNRG
APIP	BCOR
SYNRG	GCN1L1
SYNRG	DIP2B
APPL2	PJA1
PJA1	TFIP11
ARL6IP5	CCZ1
ARL6IP5	ASNS
CCZ1	KARS
ASNS	GRIA2
ATG4C	IDE
BBS1	PRPF18
BBS1	MRPS18C
BBS1	OAZ2
PRPF18	LMNB1
PRPF18	METAP1
PRPF18	RGPD3
BCOR	SUMO3
BTD	TGIF2
TGIF2	C3ORF37
TGIF2	SS18L1
TGIF2	RABGGTA
C17ORF62	NFAT5
NFAT5	EXOC3
NFAT5	HACL1
NFAT5	MFNG
C3ORF17	CCDC152
C3ORF17	EXOSC9
CCDC152	DIP2B
CALCOCO1	IDE
IDE	NCOA6
IDE	POLR3GL
IDE	PRKRIR
IDE	TIMM9
CBLL1	CBR4
CBLL1	PXK
CBR4	NEURL4
CBR4	PLAG1
CBR4	ICE2
DIP2B	SH3RF1
DIP2B	KTN1
KARS	POLR2I
CHKA	ERCC4
ERCC4	CHRAC1
ERCC4	COQ7
ERCC4	GLCCI1
ERCC4	ITM2B
ERCC4	SLC1A3
CHURC1	C3ORF37
C3ORF37	MED23
COQ7	MRPS33
COQ7	PNKD
COQ7	SIK2
MRPS33	GPR137
MRPS33	RCOR2
CTNND1	BDP1
SH3RF1	GCA
SH3RF1	MSI2
DNAJB9	SAP30
SAP30	MYCN
SAP30	PNPT1
SAP30	MED23
DOK5	MAGEH1
MAGEH1	SLC31A1
MAGEH1	NEUROG2
MAGEH1	RGPD1
EFCAB14	IMP4
EFCAB14	IKBKAP
EFCAB14	PUS7L
IMP4	SUMO3
IMP4	MANF
EIF3D	CRYZL1
CRYZL1	HMBOX1
CRYZL1	SLC24A2
FOS	JAGN1
JAGN1	DDX27
JAGN1	MANF
GCA	SETX
GCN1L1	ABCD3
GTF2B	HERC2
HERC2	LMNB1
HERC2	NBN
IKBKAP	MRPS14
POLR2I	SMC2
KLHDC10	NBN
NBN	MFNG
KTN1	GTF3C4
LCOR	OAZ2
SLC31A1	RABGGTA
MANF	RGPD4
METAP1	PIGL
PIGL	MRPS14
MFNG	PDHX
MPV17	PXK
PXK	NPC2
PXK	OTUD4
PXK	PIK3CA
PXK	RFC2
MRPS18C	ROCK2
MRPS18C	SETMAR
PDHX	SERTAD4
PGAM5	SS18L1
PGAM5	ANKRD39
PNKD	PRKCI
SMC2	CREB5
PUS7L	MFSD11
RAB39B	DAZAP2
DAZAP2	SMAD5
MSI2	FAM120A
RABGGTA	MEF2D
ACSS1	KIAA0746
ACSS1	SYP
KIAA0746	NEUROD2
KIAA0746	STK17A
ALDH3A2	JAM2
ALDH3A2	NOVA1
ALDH3A2	PAK3
ALDH3A2	TATDN1
JAM2	NGLY1
ANKRD23	ATP13A3
ATP13A3	PKIA
ATP13A3	CCDC47
ATP13A3	RAB9A
AP1AR	LPGAT1
AP1AR	SAR1B
LPGAT1	CHURC1-FNTB
LPGAT1	C10ORF18
LPGAT1	MEF2D
LPGAT1	RCOR2
SC5DL	C14ORF119
SC5DL	HIPK3
SC5DL	MIER3
SC5DL	MTDH
SC5DL	RNF180
PKIA	CHURC1-FNTB
ATP2B4	MTDH
BEX2	LRP1
LRP1	CETN2
LRP1	KDM3A
LRP1	CTDSP2
BMI1	MED12L
BMI1	DCLRE1A
BMI1	PLCE1
BMI1	PRDM16
MED12L	KATNAL1
MED12L	CLCN3
BRD7	MED11
MED11	SMG7
C14ORF119	NEUROD4
C14ORF119	PRR14
CA12	MIER3
MIER3	RNF141
CBFB	DCLRE1A
CBFB	TAF9
DCLRE1A	CTNND2
DCLRE1A	PRPF38B
CCDC47	IGF2BP2
CCDC47	MAN2A1
CCDC47	MSL1
CCDC58	RAB9A
CLCN3	COL4A3BP
COL4A3BP	SERP1
COL4A3BP	KCNMB4
CLCN6	TIMELESS
CLCN6	NEUROD2
TIMELESS	DLG2
TIMELESS	MEF2D
SERP1	MEF2D
SERP1	STAT1
COL4A6	RNF180
COL4A6	FAM133B
RNF180	PEA15
RNF180	PREX2
CTNND2	MTG2
CTNND2	NEK1
CTNND2	SLC25A39
DACH1	MAP3K3
MAP3K3	FASTKD2
MAP3K3	TATDN1
MAP3K3	NKAIN4
MAP3K3	PARP6
DDX41	RGPD2
DDX41	MPP7
DDX41	NUDT11
