EIF3CL	TMEM111
TMEM111	PPP1R11
ERLIN2	RNASET2
FBXL7	RNF187
RNF187	SURF1
RNASET2	KLRAQ1
HSPA1A	SPIRE1
SPIRE1	NIT2
SPIRE1	PIGH
BNIP3	PIP5K1C
PIP5K1C	PRR3
PIP5K1C	RSU1
PIP5K1C	PFKL
LPCAT3	GIGYF1
DCUN1D3	PPP1R11
PPP1R11	MTMR3
IDH3A	SCAMP2
SCAMP2	RAB34
SCAMP2	LRRC23
SCAMP2	JDP2
SCAMP2	NCOA6
PLEKHM1	MYO5A
MYO5A	C5ORF4
MYO5A	ARL5A
MYO5A	SEC61A2
SRFBP1	BSDC1
SRFBP1	SMOX
BSDC1	TAF8
BSDC1	PPP2R5D
MRPL4	MPHOSPH8
AGPAT1	MDN1
AGPAT1	ASTN1
MDN1	GPATCH4
MDN1	GRPEL2
MDN1	PARP11
GPATCH4	LEO1
GPATCH4	MIER2
GPATCH4	MAP1LC3B2
GRPEL2	PIGN
GRPEL2	GPRASP1
ARFIP1	LSM10
ARFIP1	FAM122C
LSM10	MAP1LC3B2
LSM10	C17ORF42
FAM122C	ROMO1
MAP1LC3B2	CRNKL1
SCP2	ST13
ST13	NUDT15
SPRED2	POLR2M
SPRED2	DPP6
CCDC130	POLR2M
CCDC130	METTL14
RPUSD4	APH1A
RPUSD4	MAD2L2
GPS1	SERTAD3
SERTAD3	MAK16
DIAPH1	PTRH2
PTRH2	ERRFI1
ATF6	KCTD17
KCTD17	ERCC2
KCTD17	SCAMP1
KCTD17	SIRT2
CRNKL1	ERCC2
FBXO33	SORT1
MED21	PTMS
SCAMP1	ST3GAL2
SLC35F5	MIB1
PRR3	RAB23
ARID5B	EHMT2
EHMT2	CENPBD1
EHMT2	GPN3
PTEN	MCAM
MCAM	GPN3
MCAM	TIMM17A
MTSS1	CAPN7
KIAA1219	C6ORF64
SCARA3	LASS2
LASS2	GAPVD1
BEND7	CENPBD1
BEND7	EFS
CENPBD1	FAM131A
CENPBD1	KIAA0831
FAM131A	GLT8D1
DPY19L3	EFS
ELOVL5	GPN3
ELOVL5	DPYSL2
ALS2	STX12
APLP1	SLC25A39
GOSR2	EMC8
PRELID2	PDE9A
PSEN1	MANSC1
MANEA	NUAK1
CDK10	MCM3AP
MCM3AP	MLST8
MCM3AP	IRF2BPL
MLST8	C2ORF24
MLST8	NDUFAF4
CUL3	TCF7L2
DIP2A	PANK2
ARV1	EXT2
EXT2	SMOX
NOTCH1	RRAGC
RRAGC	METT10D
C2ORF24	FGFR3
C2ORF24	PUS7L
NDUFAF4	MGLL
NDUFAF4	MAD2L2
EVA1C	METTL14
EVA1C	B4GALT3
HDHD1	B4GALT3
HDHD1	PBX1
METT10D	ADAL
CUL1	AKAP9
CTNNBIP1	PUS7L
DTNBP1	EEFSEC
IER5	NCOA2
IER5	STRADB
NCOA2	INTS4
STYXL1	FBXO36
FBXO36	STRADA
STRN3	SLC16A9
SLC16A9	PAM
STX12	ERBB2IP
BRCC3	NCRNA00116
IRF2BPL	PDIA6
PPP2R5D	PAPOLG
PDE9A	CSDE1
EMP3	ETAA1
ABR	DVL2
DVL2	HPRT1
DVL2	ATL1
LRRC23	OFD1
BTBD8	IRF3
BTBD8	SNAP23
BTBD8	SNX4
BTBD8	GATS
BTBD8	PAQR7
IRF3	GRIA2
IRF3	KIAA1632
ETAA1	MPHOSPH6
ETAA1	LARP4B
PDZD8	NAGA
PDZD8	EIF3J
NAGA	ERRFI1
RAB34	TBRG4
RAB34	GRAMD1C
REPIN1	SNAP23
SNX4	POLD3
TBRG4	NFATC4
BBS2	NFATC4
BBS2	DHDDS
NFATC4	CCDC104
DHDDS	FBXO11
GRAMD1C	CYBRD1
MRPS14	NCOA6
NCOA6	NEUROD6
NCOA6	GLI2
MTMR12	SRBD1
SRBD1	KIAA1632
IFIT5	GLT8D1
MAK16	MAP2K7
KLHL28	CCDC104
KLHL28	HAX1
CCDC104	FOXP1
FXC1	RUSC1
FXC1	BCL11A
RUSC1	EML5
FAM182B	SEC23A
SEC23A	FEZ2
ACTR6	ASTN1
FZR1	EBAG9
FZR1	PCYT1B
EBAG9	RFXANK
MGLL	SAV1
POM121	SAV1
PRDM16	BTBD10
PRDM16	RANBP17
