ITFG2	FAM213B
ITFG2	DEAF1
FAM213B	OTUD7B
CPD	OTUD7B
CPD	RWDD1
DEAF1	B4GALT3
DEAF1	DDX49
DEAF1	COG1
SPAST	ST18
ST18	AKR1C2
ST18	TBR1
AKR1C2	EMC8
TBR1	PRDM16
TBR1	SIAH1
C20orf24	TCF3
C12ORF32	HERPUD2
C12ORF32	PALM
C12ORF32	MPHOSPH6
PALM	SNTB2
SNTB2	PIK3C2B
NUDCD3	TIMM10
NUDCD3	LPHN2
TIMM10	KDM3A
TIMM10	FAM64A
TIMM10	NSFL1C
ECHDC2	IKBKB
ECHDC2	KDM3A
ECHDC2	PLAUR
IKBKB	CHD3
DBNL	GPSM1
DBNL	PDLIM1
GPSM1	ST3GAL6
NOSIP	SP2
NOSIP	PPM1G
NOSIP	SNRNP70
SP2	GABRB3
PPM1G	RBM14
FAM91A1	BRD9
FAM91A1	FNBP1
HAUS7	HEATR6
HEATR6	POU2F1
NOL10	SCMH1
ETFB	DPY30
HMBOX1	HINT2
HMBOX1	HDLBP
HINT2	MTMR12
C10ORF78	SLCO3A1
C10ORF78	GAP43
POU2F1	PLA2G7
ATL2	PDE12
ATL2	C11ORF51
KIF20B	PLEKHO1
KIF20B	SBF1
KIF20B	LY6G5C
PDE12	OSGEPL1
AZIN1	KIAA1219
AZIN1	FAM200B
KIAA1219	GDAP2
GDAP2	TADA2A
GDAP2	ERBB2IP
TADA2A	DIDO1
TADA2A	C10ORF18
TADA2A	GDE1
TADA2A	MCM6
GLT8D1	SPICE1
GLT8D1	FIBP
SPICE1	PTBP2
SPICE1	NR2F1
NFXL1	CMAS
NFXL1	AKAP6
CMAS	PRMT7
CAMK2A	POMGNT1
CDC26	SMG6
CDC26	TIGD1
SMG6	MBD1
PRMT7	TIGD1
TIGD1	RNF130
PAAF1	MDM2
PSMC3IP	DERL3
PSMC3IP	NAP1L3
PSMC3IP	PDIA4
PSMC3IP	TIMELESS
DERL3	ERC1
FOXN2	SHISA2
SHISA2	AP3M1
DCUN1D2	PHF19
DCUN1D2	CDC23
DCUN1D2	ELAVL3
PHF19	THOP1
OTUD7B	THOP1
OTUD7B	PUS7
THOP1	SLC22A17
THOP1	C3ORF26
THOP1	DIP2A
SLC22A17	SFRS15
STX6	NKIRAS2
B4GALT3	LRPAP1
LRPAP1	CMIP
LRPAP1	PIN1
CDC23	ATP1B1
C6ORF182	AP2S1
AP2S1	C3ORF26
C10ORF84	MOBKL2A
MOBKL2A	GRK4
MOBKL2A	IMPAD1
METT5D1	DBNDD1
ANKRD50	NACC2
KRBA2	PTPRM
KRBA2	TCF7L2
CPT1C	PEX14
PEX14	GRK4
CDCA4	DBNDD1
CDCA4	FKBP2
DBNDD1	MRPS14
DBNDD1	KAZN
MRPS14	KIAA2018
GRK4	RGPD1
KAZN	ARFGAP1
KAZN	NPRL2
KAZN	STX17
SNCAIP	SOCS7
SNCAIP	RBM12
SNCAIP	LGALS3BP
SNCAIP	ENO2
SOCS7	PDDC1
SOCS7	PACRGL
DLG3	SLC35A3
DLG3	CCNB1
DLG3	MYO5A
MEMO1	CCNB1
CCNB1	SUCLA2
STK33	PTBP2
CMIP	AMOTL1
DUSP18	PRKAR2A
DUSP18	SLC25A24
GSKIP	MPP6
CHD3	LMF2
