CEP290	PPDPF
PPDPF	SLC33A1
PPDPF	INPP5A
PPDPF	MYCBP
DCAF11	RCN1
RCN1	MMAB
RCN1	MRPS30
DYNC2H1	SLC25A11
ERCC4	SLC25A11
ERCC4	RECQL5
CCDC88A	CHD8
CCDC88A	GATAD1
MRPS30	CLU
PGRMC1	CHD8
PGRMC1	TFAP2C
PGRMC1	APBB1
CHD8	PTPRA
CHD8	PRKD1
CHD8	SMARCA4
CHD8	CCT2
CHD8	KIF18A
ANAPC1	C5ORF24
C5ORF24	NAB1
NAB1	GNAO1
NAB1	SV2C
CNBP	QRICH1
CNBP	GLUL
QRICH1	ETFB
COMMD4	NDUFAF5
COMMD4	HIPK1
NDUFAF5	MRPL53
DHRSX	SERPINI1
DHRSX	PIGL
SERPINI1	LSM1
SERPINI1	SRM
EMP2	HIPK1
EMP2	SRP19
MTAP	SRP19
MTAP	NRM
MRPL53	HS2ST1
ETFB	PTPRA
ABCA1	RORA
ABCA1	CCDC43
RORA	MRPL50
RORA	OGFOD1
RORA	SAP30BP
ALDOA	OGFOD1
OGFOD1	CAMK4
OGFOD1	OTUD7B
MRPL50	RAD52
OTUD7B	SHF
C14ORF153	SUSD1
SUSD1	IFI44
SUSD1	DNAJC24
BRD1	RRN3
BRD1	EPB41L4A
BRD1	KIAA1244
RRN3	DNAJC24
COL4A5	MRPS14
MRPS14	DNAJC24
MRPS14	MOBKL2B
MRPS14	BPNT1
DNAJC24	SYNJ2BP
EPB41L4A	BUD13
MOBKL2B	ADSS
SKA2	SRD5A1
SRD5A1	CTAGE5
SRD5A1	MTX2
SRD5A1	MRRF
PTPRA	LRRC14
PTPRA	ARHGEF40
ABHD10	FBXW4
ABHD10	ASXL1
FBXW4	CUTC
FBXW4	MIER2
LIPG	ST6GALNAC3
LIPG	MIIP
MIER2	TIFA
MIER2	PVRL3
TIFA	BRWD1
TIFA	SORD
TIFA	C21orf33
ACO2	KIAA0892
KIAA0892	KMT2D
AHCYL1	DUSP16
AHCYL1	SLBP
DUSP16	FOXRED1
DUSP16	SLX1A
AP3B2	ATIC
AP3B2	TGS1
ATIC	TANC2
ATIC	CNIH1
ATIC	MOV10
ARF5	DNAJC15
ARF5	DDX26B
DNAJC15	COMMD5
DNAJC15	TANC2
DNAJC15	NAT11
SNX26	COMMD5
COMMD5	CDK11B
COMMD5	MAP3K4
TANC2	BLZF1
TANC2	DZIP1L
TANC2	ITPK1
TANC2	MEX3B
TANC2	PET117
TANC2	SNUPN
TANC2	C14ORF147
TANC2	NAP1L1
ATP6AP1	EIF3J
ATP6AP1	MCTS1
EIF3J	MYC
ATP6AP2	SLC25A28
ATP6AP2	PTGR1
SLC25A28	SRM
BCL11A	FBXW2
FBXW2	PET117
FBXW2	LSM1
FBXW2	TCEA1
BLZF1	F2R
BSDC1	KCTD3
BSDC1	CDC6
KCTD3	NCK1
C11ORF57	PET117
PET117	FAM20B
KIAA0528	F2R
KIAA0528	SNTG1
CDC6	FAM76A
CDC6	SUCO
CDK11B	MRPL18
CENPI	NEO1
CENPI	TTC35
NEO1	TECPR2
CHRAC1	PIM2
CHRAC1	KIN
CHRAC1	PDCD7
CHRAC1	SMARCE1
PIM2	NPIPB6
DHFRL1	KMT2D
DHFRL1	NCK1
DHFRL1	SLX1A-SULT1A3
KMT2D	MBD5
FOXRED1	FAM111B
FOXRED1	KDELC2
FOXRED1	TIMM9
EBNA1BP2	NPIPB15
NPIPB15	KDELC2
NPIPB15	KIN
MYC	SORBS1
C20ORF177	RILPL1
RILPL1	NCK1
FEM1C	KIAA0391
FEM1C	FUBP3
KIAA0391	SLX1B
KDELC2	PLA2G15
HIBCH	NPIPB6
NPIPB6	ITPK1
ITPK1	SPATA5
JAGN1	LTBP1
LTBP1	SORBS1
NCK1	KIF13B
SLX1B	NMT1
MBD5	ARID2
MBD5	TARS2
MBD5	SH3GL3
LSM1	SHROOM3
SORBS1	SUCO
MADD	SPATA5
ARID2	NFKBIL1
ARID2	SMARCA4
MEX3B	NOC2L
MEX3B	SLC22A23
MLH3	MOCS3
MOCS3	MRPL18
MOCS3	CCDC126
TECPR2	TGS1
NMT1	TGS1
OPA1	PLA2G15
RABEP1	C1ORF43
C1ORF43	MPP6
SETD5	FAM102B
FAM102B	RAB36
SRM	TAF9B
SNUPN	ABL1
C14ORF147	GBF1
C14ORF147	ID2
TARS2	RAD9A
BNIP3	MTX2
BNIP3	GLIPR2
BNIP3	RNF149
MTX2	CCBL1
ELOF1	GLIPR2
ELOF1	KDM6A
GLIPR2	ING5
GNPNAT1	RNF149
KDM6A	KIAA1217
KDM6A	NCBP1
SLC33A1	HLA-C
SLC33A1	LRIG3
SLC33A1	RNF182
ADSS	IL17RA
ADSS	BLOC1S5
ADSS	FAM120AOS
ADSS	SUMF1
ADSS	DDTL
ADSS	ELK3
ADSS	FEM1B
ADSS	HDAC3
ADSS	PPRC1
IL17RA	FBXO18
IL17RA	LBH
IL17RA	RANBP17
IL17RA	KIAA0100
ALG10B	BLOC1S5
BLOC1S5	C8orf44
ANKS3	FBXO18
ANKS3	FARS2
FBXO18	PLRG1
FBXO18	PMM2
ARRB2	ERC1
ARRB2	SNRK
ERC1	PLRG1
BMP2K	PMS1
BMP2K	C3ORF38
PMS1	DCTN4
C20orf96	REEP1
C20orf96	MFSD11
C20orf96	PARP4
REEP1	SV2C
REEP1	STK32C
REEP1	TBC1D22B
C8orf44	CLUAP1
C8orf44	NSDHL
C8orf44	RGL1
C8orf44	SNX30
C8orf44	QTRT1
CCDC152	PWP2
PWP2	STK32C
CH507-9B2.5	SYCP2L
CH507-9B2.5	HDHD2
SYCP2L	C17ORF81
CRK	PARP4
CRK	C17ORF81
PARP4	KIAA1305
DCTN4	GNAO1
GNAO1	FAM120AOS
GNAO1	PLCB1
DLGAP4	FAM120AOS
DLGAP4	NINL
FAM120AOS	NUP62CL
PLRG1	MCM6
PLRG1	AP2A2
GOSR1	TBC1D12
TBC1D12	SMAD1
TBC1D12	DDTL
NEIL3	SUMF1
NEIL3	ERI1
KIAA1305	SULT1A1
PLCB1	ST3GAL6
PMM2	TET1
POLA1	ERGIC1
ERGIC1	STAMBP
FLNB	PPAT
FLNB	CLEC11A
PPAT	MMAB
RABGEF1	RECQL5
EID1	LMBRD1
LMBRD1	KIF1A
KLHL7	ABL1
MRRF	PCGF5
NFRKB	NDUFAF1
NFRKB	SH3PXD2B
NDUFAF1	KIAA1430
NDUFAF1	NET1
NDUFAF1	HAUS3
ASXL2	PTAR1
PTAR1	CCDC90B
PTAR1	MRPL10
ATP2B4	HIPK3
HIPK3	MRPL10
CDKL5	HSPA5
CDKL5	PPT1
CDKL5	MPV17L2
HSPA5	GSTO1
MRPL10	SESN3
MRPL10	NPAS3
MRPL10	SNAPC5
GSTO1	RNF41
GSTO1	SDC3
SESN3	IFT46
SESN3	HNRNPUL2-BSCL2
PPT1	C1orf123
PRKD1	LARP4B
PRKD1	CYFIP2
ANKRD20A1	LYAR
ANKRD20A1	ATP6V0D1
LYAR	LRRCC1
ANKRD20A3	SDC2
ANKRD20A3	DCAF6
ANKRD20A3	PCLO
SDC2	ANKRD20A2
SDC2	ANKRD20A4
SDC2	C2ORF24
SDC2	NAGK
ASF1A	RNF141
ASF1A	RTN1
RNF141	SNTG1
DNMT3A	PLA2G7
PLA2G7	SEMA6A
KIAA00900	PCLO
KIAA00900	PYGO2
LRRCC1	PYGO2
SNTG1	FXC1
C12ORF53	SRPRB
DENND1A	MLEC
DENND1A	RARRES1
DENND1A	PRKACB
MLEC	METAP1D
MLEC	MTIF2
EDEM3	RARRES1
EDEM3	PPA2
HSPA14	SRPRB
SRPRB	MRPL40
SRPRB	PPA2
HYDIN	SIPA1L3
SIPA1L3	MINA
SIPA1L3	PPA2
NEDD9	DRAM2
DRAM2	NDRG2
SMARCA4	EPHB2
ATG12	POLR3A
ATG12	PTRHD1
POLR3A	PWWP2A
HS2ST1	MCM6
HS2ST1	MED8
HS2ST1	ETFA
MCM6	PWWP2A
MED8	SLC4A2
SERINC5	SNRK
SERINC5	SOS2
SLC4A2	FAM101B
THSD7A	MSH6
MSH6	CCDC66
MSH6	THAP5
NDRG2	ANK2
AGPAT6	DCAF6
FXC1	STRN3
C1orf123	PRPF19
C1orf123	ST7L
C7orf50	ST7L
CREB5	MYCBP
CREB5	RHBDD2
MYCBP	PLIN3
MYCBP	ADPRHL2
EFCAB2	INPP5A
INPP5A	PPFIA2
HERPUD2	LIMD2
LIMD2	LDOC1L
DNAJC17	BCKDK
DNAJC17	CXorf56
DNAJC17	MYT1L
PDXK	PPM1F
PLIN3	C7ORF11
PRPF19	RAB5A
RAB5A	SBK1
ADAMTS9	OTUD1
ADAMTS9	RBM42
AGTPBP1	RBM42
CCHCR1	HIATL1
EPHB2	CAPNS1
HIATL1	SENP3
KIAA1430	PPRC1
NET1	PAPD5
RBM34	SLC25A19
SLC25A19	APPL1
SUPT4H1	CUL2
CUL2	NUP153
CPSF2	GPN1
CPSF2	C6ORF130
GPN1	ELAVL3
GPN1	METTL8
DIS3	PPP6C
PPP6C	C6ORF130
PPP6C	POGZ
ELAVL3	CHMP2B
ELAVL3	TAF4
NHSL1	CHMP2B
NHSL1	PSD3
CHMP2B	SAP30L
RTN1	DDX19A
RTN1	SLC16A2
DMXL1	RAD9A
DMXL1	PPWD1
ALDH3A2	CUL4A
CUL4A	BTBD9
CUL4A	SYCE2
ALKBH1	CDKN1B
ALKBH1	SOX6
ALKBH1	ARL1
ALKBH1	PRDX6
CDKN1B	NEUROG1
BTBD9	SHANK2
BTBD9	DNPEP
BTBD9	NEUROG1
BTBD9	PCGF5
BTBD9	SERPINF1
BTBD9	STXBP5
SHANK2	KCNMB4
SHANK2	TCF7L2
NEUROG1	DLG3
NEUROG1	FAHD2A
COPG1	C3ORF1
C3ORF1	PMEPA1
C3ORF1	DNPEP
DNPEP	LIMA1
EIF4E3	STXBP5
STXBP5	FNBP1
FGD3	SERPINF1
FGD3	SLC25A46
SERPINF1	CTNNAL1
SERPINF1	FBXL20
GTDC1	LIMA1
KCNRG	FNBP1
KCNRG	GTPBP1
FNBP1	MSANTD4
METT11D1	NISCH
PCGF5	GRIA3
NRG4	SLC25A46
NRG4	RAN
AHI1	ANKRD20A2
ANKRD20A4	EPS15
BACE1	MAPK14
MAPK14	GCN1L1
CADM4	MAP3K1
MAP3K1	SHF
CAPN12	HAUS3
CD151	CXXC1
CD151	TAF4
CD151	NUP153
CHFR	C2ORF24
CHFR	MTR
CTTNBP2	HRSP12
HRSP12	SNX18
CXXC1	NCCDC56
DMWD	OSGEP
OSGEP	SHF
TAF4	PRDM4
TAF4	SHF
TAF4	SNX18
HIVEP1	NOTCH1
NOTCH1	PRDM4
NOTCH1	HINT2
LYRM7	NCCDC56
SHF	NAGK
SHF	NKAP
SHF	SLC38A7
MAPKAP1	PRDM4
NCAPD2	SLC38A7
NCAPD2	SEC11C
NKAP	FUSIP1
NKAP	FAM195B
PAPD5	CHMP5
SLC16A2	SPAST
SLC16A2	IFT57
FUSIP1	ILF2
SSBP4	MTR
MYO9A	SLC39A9
SLC39A9	C19ORF55
PANK3	KIAA1033
PANK3	C19ORF55
PANK3	KIAA0232
ATP11C	C5ORF30
C5ORF30	HLA-C
ECSIT	LENG8
ECSIT	NKX6-2
LENG8	RNF182
IFT88	RNF182
IFT88	ST20
RNF182	LRRC14
RNF182	SMARCAL1
KMT2A	LRIG3
LRIG3	PAPSS1
MTIF2	ARL8A
MTIF2	LRRC14
NKX6-2	NUAK1
PAPD4	PIKFYVE
PAPD4	SPG21
PIKFYVE	CUTA
PIKFYVE	POLR2D
PIKFYVE	ST6GALNAC3
PIKFYVE	THUMPD2
PAPSS1	SLITRK2
RABEPK	SIGIRR
SIGIRR	SMARCAL1
LRRC14	BNIP1
LRRC14	ANK2
LRRC14	BRF1
LRRC14	MED13L
LRRC14	POLR1D
LRRC14	PRH2
LRRC14	RNF103
LRRC14	RRAGD
AAK1	PPP1R37
PPP1R37	NXPH2
ABCB7	LLPH
ABCB7	KIRREL
LLPH	DHDDS
LLPH	CAB39L
LLPH	MEX3C
ABCF1	RAB6C
ABCF1	PGD
RAB6C	ARL5A
ACO1	BTBD7
BTBD7	EML6
BTBD7	FOCAD
BTBD7	R3HDM4
ACTR6	KIAA2022
ACTR6	CNTN3
ACTR6	DTX1
ACTR6	SLC43A3
ACTR6	ST8SIA1
KIAA2022	NBEA
KIAA2022	PIGT
KIAA2022	TBRG4
ADAT1	TFE3
ADAT1	AKAP8L
ADAT1	S100PBP
TFE3	ARHGEF9
TFE3	APBB1
ADCY1	MPND
ADCY3	MASTL
MASTL	LANCL1
MASTL	POU3F2
ADK	SFT2D1
ADK	SNX7
SFT2D1	KLHL2
AKAP11	CTTNBP2NL
